age,value
0,329.631
1,303.875
2,287.899
3,276.028
4,265.581
5,255.713
6,247.436
7,239.093
8,230.887
9,223.32
10,219.18
11,213.9
12,208.462
13,202.53
14,196.633
15,189.242
16,182.95
17,176.159
18,169.027
19,162.177
20,154.555
21,147.124
22,140.177
23,133.885
24,127.888
25,122.022
26,116.294
27,110.534
28,104.747
29,98.969
30,93.254
31,87.689
32,82.347
33,77.263
34,72.473
35,68.019
36,63.921
37,60.181
38,56.783
39,53.915
40,50.536
41,46.93
42,46.927
43,45.288
44,43.41
45,41.542
46,39.817
47,38.266
48,36.885
49,35.649
50,34.586
51,33.679
52,32.582
53,31.343
54,30.121
55,29.114
56,28.101
57,27.052
58,25.992
59,24.927
60,23.897
61,22.86
62,21.847
63,20.843
64,19.833
65,18.804
66,17.868
67,16.881
68,15.86
69,14.82
70,13.799
71,12.773
72,11.773
73,10.795
74,9.847
75,8.921
76,8.037
77,7.178
78,6.348
79,5.562
80,4.83
81,4.148
82,3.525
83,2.951
84,2.436
85,1.98
86,1.58
87,1.243
88,0.962
89,0.732
90,0.547
91,0.403
92,0.288
93,0.199
94,0.134
95,0.089
96,0.056
97,0.036
98,0.024
99,0.015
100,0.021
